miRNA	Metabolite	coef_Endo2
hsa-miR-411-3p	16-hydroxypalmitate	-0.63565946
hsa-miR-411-5p	16-hydroxypalmitate	-1.103173572
hsa-miR-423-3p	16-hydroxypalmitate	-0.439832291
hsa-miR-4433b-5p	16-hydroxypalmitate	-0.784711221
hsa-miR-505-5p	16-hydroxypalmitate	-0.625184128
hsa-miR-577	16-hydroxypalmitate	-0.569921101
hsa-miR-584-5p	16-hydroxypalmitate	-0.564360575
hsa-miR-605-3p	16-hydroxypalmitate	-0.638741125
hsa-miR-654-3p	16-hydroxypalmitate	-0.970113918
hsa-miR-889-3p	16-hydroxypalmitate	-0.844208756
hsa-miR-92b-5p	16-hydroxypalmitate	-0.288221209
hsa-miR-1-3p	1-methyladenosine	0.490239199
hsa-miR-23b-5p	1-methyladenosine	-0.559448434
hsa-miR-100-5p	1-methylguanine	0.232718263
hsa-miR-106b-3p	1-methylguanine	-0.383589462
hsa-miR-106b-5p	1-methylguanine	-0.759124884
hsa-miR-10b-3p	1-methylguanine	-0.654924989
hsa-miR-125b-5p	1-methylguanine	0.21488741
hsa-miR-1271-5p	1-methylguanine	-0.598131926
hsa-miR-1301-3p	1-methylguanine	-0.436652307
hsa-miR-139-3p	1-methylguanine	-0.581086901
hsa-miR-142-5p	1-methylguanine	-0.343627858
hsa-miR-146a-5p	1-methylguanine	-0.150168036
hsa-miR-148b-3p	1-methylguanine	-0.080437749
hsa-miR-150-5p	1-methylguanine	-0.425292478
hsa-miR-151a-5p	1-methylguanine	-0.504143452
hsa-miR-151a-5pXhsa-miR-151b	1-methylguanine	-0.25111715
hsa-miR-151b	1-methylguanine	-0.475269988
hsa-mir-151b	1-methylguanine	-0.352610128
hsa-miR-16-2-3p	1-methylguanine	-0.525350861
hsa-miR-16-5p	1-methylguanine	-0.437533167
hsa-miR-181c-5p	1-methylguanine	-0.711007975
hsa-miR-182-5p	1-methylguanine	-0.411594221
hsa-miR-185-5p	1-methylguanine	-0.365067698
hsa-miR-186-5p	1-methylguanine	-0.36757808
hsa-let-7g-5p	PE(P-38:6)/PE(O-38:7)	0.306477221
